,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2822,China,4/1/20,990,6,984,990,6,984
2823,China,4/2/20,990,6,984,990,6,984
2824,China,4/3/20,990,6,984,990,6,984
2825,China,4/4/20,990,6,984,990,6,984
2826,China,4/5/20,990,6,984,990,6,984
2827,China,4/6/20,990,6,984,990,6,984
2828,China,4/7/20,990,6,984,990,6,984
2829,China,4/8/20,990,6,984,990,6,984
2830,China,4/9/20,991,6,984,990,6,984
2831,China,4/10/20,991,6,984,991,6,984
2832,China,4/11/20,991,6,984,991,6,984
2833,China,4/12/20,991,6,984,991,6,984
2834,China,4/13/20,991,6,984,991,6,984
2835,China,4/14/20,991,6,984,991,6,984
2836,China,4/15/20,991,6,984,991,6,984
2837,China,4/16/20,991,6,984,991,6,984
2838,Colombia,1/22/20,0,0,0,0,0,0
2839,Colombia,1/23/20,0,0,0,0,0,0
2840,Colombia,1/24/20,0,0,0,0,0,0
2841,Colombia,1/25/20,0,0,0,0,0,0
2842,Colombia,1/26/20,0,0,0,0,0,0
2843,Colombia,1/27/20,0,0,0,0,0,0
2844,Colombia,1/28/20,0,0,0,0,0,0
2845,Colombia,1/29/20,0,0,0,0,0,0
2846,Colombia,1/30/20,0,0,0,0,0,0
2847,Colombia,1/31/20,0,0,0,0,0,0
2848,Colombia,2/1/20,0,0,0,0,0,0
2849,Colombia,2/2/20,0,0,0,0,0,0
2850,Colombia,2/3/20,0,0,0,0,0,0
2851,Colombia,2/4/20,0,0,0,0,0,0
2852,Colombia,2/5/20,0,0,0,0,0,0
2853,Colombia,2/6/20,0,0,0,0,0,0
2854,Colombia,2/7/20,0,0,0,0,0,0
2855,Colombia,2/8/20,0,0,0,0,0,0
2856,Colombia,2/9/20,0,0,0,0,0,0
2857,Colombia,2/10/20,0,0,0,0,0,0
2858,Colombia,2/11/20,0,0,0,0,0,0
2859,Colombia,2/12/20,0,0,0,0,0,0
2860,Colombia,2/13/20,0,0,0,0,0,0
2861,Colombia,2/14/20,0,0,0,0,0,0
2862,Colombia,2/15/20,0,0,0,0,0,0
2863,Colombia,2/16/20,0,0,0,0,0,0
2864,Colombia,2/17/20,0,0,0,0,0,0
2865,Colombia,2/18/20,0,0,0,0,0,0
2866,Colombia,2/19/20,0,0,0,0,0,0
2867,Colombia,2/20/20,0,0,0,0,0,0
2868,Colombia,2/21/20,0,0,0,0,0,0
2869,Colombia,2/22/20,0,0,0,0,0,0
2870,Colombia,2/23/20,0,0,0,0,0,0
2871,Colombia,2/24/20,0,0,0,0,0,0
2872,Colombia,2/25/20,0,0,0,0,0,0
2873,Colombia,2/26/20,0,0,0,0,0,0
2874,Colombia,2/27/20,0,0,0,0,0,0
2875,Colombia,2/28/20,0,0,0,0,0,0
2876,Colombia,2/29/20,0,0,0,0,0,0
2877,Colombia,3/1/20,0,0,0,0,0,0
2878,Colombia,3/2/20,0,0,0,0,0,0
2879,Colombia,3/3/20,0,0,0,0,0,0
2880,Colombia,3/4/20,0,0,0,0,0,0
2881,Colombia,3/5/20,0,0,0,0,0,0
2882,Colombia,3/6/20,1,0,0,0,0,0
2883,Colombia,3/7/20,1,0,0,1,0,0
2884,Colombia,3/8/20,1,0,0,1,0,0
2885,Colombia,3/9/20,1,0,0,1,0,0
2886,Colombia,3/10/20,3,0,0,1,0,0
2887,Colombia,3/11/20,9,0,0,3,0,0
2888,Colombia,3/12/20,9,0,0,9,0,0
2889,Colombia,3/13/20,13,0,0,9,0,0
2890,Colombia,3/14/20,22,0,0,13,0,0
2891,Colombia,3/15/20,34,0,0,22,0,0
2892,Colombia,3/16/20,54,0,0,34,0,0
2893,Colombia,3/17/20,65,0,1,54,0,0
2894,Colombia,3/18/20,93,0,1,65,0,1
2895,Colombia,3/19/20,102,0,1,93,0,1
2896,Colombia,3/20/20,128,0,1,102,0,1
2897,Colombia,3/21/20,196,0,1,128,0,1
2898,Colombia,3/22/20,231,2,3,196,0,1
2899,Colombia,3/23/20,277,3,3,231,2,3
2900,Colombia,3/24/20,378,3,6,277,3,3
2901,Colombia,3/25/20,470,4,8,378,3,6
2902,Colombia,3/26/20,491,6,8,470,4,8
2903,Colombia,3/27/20,539,6,10,491,6,8
2904,Colombia,3/28/20,608,6,10,539,6,10
2905,Colombia,3/29/20,702,10,10,608,6,10
2906,Colombia,3/30/20,798,12,15,702,10,10
2907,Colombia,3/31/20,906,16,31,798,12,15
2908,Colombia,4/1/20,1065,17,39,906,16,31
2909,Colombia,4/2/20,1161,19,55,1065,17,39
2910,Colombia,4/3/20,1267,25,55,1161,19,55
2911,Colombia,4/4/20,1406,32,85,1267,25,55
2912,Colombia,4/5/20,1485,35,88,1406,32,85
2913,Colombia,4/6/20,1579,46,88,1485,35,88
2914,Colombia,4/7/20,1780,50,100,1579,46,88
2915,Colombia,4/8/20,2054,54,123,1780,50,100
2916,Colombia,4/9/20,2223,69,174,2054,54,123
2917,Colombia,4/10/20,2473,80,197,2223,69,174
2918,Colombia,4/11/20,2709,100,214,2473,80,197
